Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-09-03,15.199294940163465,15.411332629018583,14.3125890366338,15.054722785949707,7465305,0.0,0.0
2024-09-04,14.630646015748228,15.43060878470159,14.514988847615852,15.411332130432129,7074350,0.0,0.0
2024-09-05,15.478798971094065,15.555903751786921,14.958342160998027,15.459524154663086,4492601,0.0,0.0
2024-09-06,15.420971338964632,15.661924016135954,15.189656989478927,15.449886322021484,4345300,0.0,0.0
2024-09-09,15.276399728126918,15.459524273045863,14.495712668681696,14.524626731872559,5206000,0.0,0.0
2024-09-10,14.592093684357165,14.861960411071777,14.168016480358448,14.861960411071777,5964500,0.0,0.0
2024-09-11,14.717389279619612,14.775217404725815,14.119825859112346,14.293312072753906,6300849,0.0,0.0
2024-09-12,14.225845726866378,14.678836080513593,14.061997839236883,14.601731300354004,4566054,0.0,0.0
2024-09-13,14.649922016590324,14.823408231516478,14.225845725745986,14.254759788513184,3521300,0.0,0.0
2024-09-18,14.351141873140907,14.370417609471398,13.975255363500334,14.023446083068848,3211200,0.0,0.0
2024-09-19,14.023445661508811,14.071636379628657,13.666835818080333,13.830683708190918,4418800,0.0,0.0
2024-09-20,13.840321010284708,13.955978181387971,13.705388103578313,13.86923599243164,2592900,0.0,0.0
2024-09-23,13.869236265295646,14.360779022364778,13.792131483043173,14.283674240112305,3944200,0.0,0.0
2024-09-24,14.312588868455387,14.967979501374247,14.100550262930307,14.94870376586914,4886110,0.0,0.0
2024-09-25,14.97761797426709,15.276399690372562,14.514989287710677,14.543903350830078,5798858,0.0,0.0
2024-09-26,14.505350888831353,14.794494276085558,14.274036546692583,14.74630355834961,3931111,0.0,0.0
2024-09-27,14.871598950060159,14.919788748288745,14.543903174801471,14.784855842590332,2711500,0.0,0.0
2024-09-30,15.0065319255814,15.97034260122129,14.833046628996032,15.80649471282959,8682016,0.0,0.0
2024-10-08,17.3871459485652,17.3871459485652,15.15110449462657,15.469161033630371,14405065,0.0,0.0
2024-10-09,15.440247079889284,15.469160222910721,13.984892775368898,14.004168510437012,10503409,0.0,0.0
2024-10-10,14.004168966194095,15.035447022002197,14.004168966194095,14.36077880859375,8877954,0.0,0.0
2024-10-11,14.44752195459815,14.852322516028513,14.071636375528165,14.177655220031738,8291962,0.0,0.0
2024-10-14,14.216207571605205,15.112551800760126,14.081273745112169,14.543903350830078,10432667,0.0,0.0
2024-10-15,14.505350928164443,14.57281738168082,14.148741086609808,14.196930885314941,7911217,0.0,0.0
2024-10-16,14.187293405942762,14.543903245709533,14.129464360960442,14.399331092834473,3763300,0.0,0.0
2024-10-17,14.447522312541095,14.505351359533098,14.177655571288632,14.225846290588379,4099400,0.0,0.0
2024-10-18,14.274036443132303,14.486074128973732,14.071636165438953,14.254759788513184,5774996,0.0,0.0
2024-10-21,14.254759571584284,14.389693394380256,13.840320695194952,13.984892845153809,8337234,0.0,0.0
2024-10-22,14.023445377167285,14.177654936694823,13.763216056093457,14.110188484191895,5193616,0.0,0.0
2024-10-23,14.110188414210494,14.32222609792849,14.01380698040306,14.129464149475098,3760200,0.0,0.0
2024-10-24,14.07163680263736,14.187293978104877,13.95597870800832,14.023446083068848,2224000,0.0,0.0
2024-10-25,14.013806975700732,14.061997692588278,13.560815707616154,13.782492637634277,5536322,0.0,0.0
2024-10-28,13.782493132548582,13.830683851166604,13.512626395113765,13.772854804992676,2911713,0.0,0.0
2024-10-29,13.734302568753078,13.75357922408219,13.329501998456907,13.368054389953613,6656400,0.0,0.0
2024-10-30,13.358415673961744,13.406606391722109,13.107825596098534,13.339139938354492,4123300,0.0,0.0
2024-10-31,13.281311073576745,13.396968246275408,13.011444337279865,13.098187446594238,3736300,0.0,0.0
2024-11-01,13.059635327328955,13.560816419447493,12.924701496793203,13.34877872467041,6447006,0.0,0.0
2024-11-04,13.483711451332955,13.686111734783164,13.213844713119842,13.589731216430664,6218903,0.0,0.0
2024-11-05,13.493349885392904,13.58973132366746,13.213844817390513,13.551178932189941,5724261,0.0,0.0
2024-11-06,13.49334942836898,13.821045204409492,13.445158710863936,13.541540145874023,5831102,0.0,0.0
2024-11-07,13.502988032161518,13.955978396163559,13.454797313669822,13.792131423950195,7910976,0.0,0.0
2024-11-08,13.92706404806112,13.93670237539475,13.242758433118581,13.358415603637695,10006204,0.0,0.0
2024-11-11,13.300587406530274,13.348778123778143,13.165653582068538,13.213844299316406,4770948,0.0,0.0
